,Emotion,text_de,Text
393,sadness,Nö! Das ist langweilig! Ich werde Killer Zombies auf meiner PlayStation spielen!, Nah ! This is boring ! I ’ m gonna go play Killer Zombies on my PlayStation ! 
394,joy,"An dem Tag, an dem ich getauft wurde, verspürte ich große Freude. Ich war eins mit Gott.",I felt extreme joy the day I was baptized. I was one with God.
395,neutral,Ich stimme zu . Gibt es Werbung im Fernsehen?, I agree . Are there any commercials on the TV ? 
396,joy,"Ich war froh, dass ich mein eigenes Baby bekam, aber manchmal habe ich umsonst geweint und war schnell verärgert.",I was happy that I was having my own baby but sometimes I used to cry for nothing and I was easily upset . 
397,fear,"keine Angst vor morgen, denn ich habe gestern gesehen und liebe heute #weniger","not afraid of tomorrow, for I have seen yesterday and I love today #less"
398,neutral,Ich werde nicht., I won't . 
399,neutral,"Richtig, wir haben es noch am selben Tag gekauft, als wir auf den Markt kamen."," That ’ s right , we bought it the same day we came on the market . "
400,anger,"Sein Lächeln war geduldig, verärgert und sehr traurig.","His smile was patient , peeved , and very sad . "
401,fear,Für Swift besteht ein Zusammenhang zwischen Kosmetik und Prostitution; das sorgfältig zusammengestellte Äußere verbirgt oft sowohl physischen Horror als auch moralische Kontamination.,"For Swift , there is a connection between cosmetics and prostitution ; the carefully assembled exterior often conceals both physical horror and moral contamination . "
402,sadness,Als einer meiner engsten Freunde unerwartet starb.,When one of my closest friends died unexpectantly.
403,neutral,"Äh, ja."," Uh , yes . "
404,anger,Das wütende Tier stürmte in Christopher Rogers und drückte ihn auf den Boden.,"The enraged animal charged into Christopher Rogers , pinning him to the ground . "
405,fear,"Ich hatte Angst, eines Tages durch den Wald zu laufen, als ich gegen Nummer nachmittags aus dem Bus stieg.",I was afraid to walk through the forest one day when I dropped off the bus around number.number pm.
406,neutral,"Oh nein, Ari. Ich wollte nicht, dass Sie für mich bezahlen, als ich Sie heute Abend eingeladen habe. Gehen wir holländisch. Ich werde meinen eigenen Weg bezahlen . Ich bestehe darauf ."," Oh no , Ari . I didn ’ t mean for you to pay for me when I invited you to go tonight . Let ’ s go Dutch . I ’ ll pay my own way . I insist . "
407,neutral,Colorado., Colorado . 
408,anger,"Als ich auf der Wohnungssuche war: Ein anderer hat eine Wohnung bekommen, die mir auch gefallen hätte, weil er eine Menge Worte auf den Brief gehäuft hat.","When I was house-hunting: Another person got a flat that I would have liked, too, because he heaped a floot of words on the letter."
409,neutral,Alle aus der Schule., Everyone from school . 
410,neutral,Ach ..., Ah ... 
411,sadness,Für den Besitzer kann der Verlust eines Haustiers Herzschmerz bedeuten.,"For the owner , it can mean heartbreak at the loss of a family pet . "
412,anger,"Robyn lehnte sich gegen die Tür zum Büro und erlebte die alte, vertraute Woge tiefen Ärgers.","Robyn leant against the door to the office and found herself experiencing the old , familiar surge of deep annoyance . "
413,anger,"Es gab eine Lehrerin, die so wütend wurde, dass sie mit Schiefertafeln herumwarf, während die ganze Klasse sich aus dem Weg duckte.","There was one teacher who used to get so mad that she would throw slates around , with the whole class ducking out of the way . "
414,anger,"Ich erreichte die Bushaltestelle und stellte fest, dass ich meinen Buspass vergessen hatte.",I reached the bus stop and realized that I had forgotten my bus pass.
415,sadness,"Ich war sehr traurig, als eine Freundin von mir die Abschlussprüfung nicht bestand und sie nicht an der Hochschule aufgenommen werden konnte.",I felt very sad when a friend of mine failed the final exam and she could not be accepted at the institution of learning.
416,sadness,"Aha . Oh, Moment mal . Ma'am, es tut mir leid. Diese Hosen waren im Angebot."," I see . Oh , wait . Ma'am , I'm sorry . These slacks were on sale . "
417,joy,"Wenn Sie in der letzten Vorlesung allen gesagt haben, werden Sie alle Vorlesungen wieder auf Englisch halten und jeder kann kommen (nicht nur Englischunterricht)",When you told everyone in the last lecture you will do all lectures again in English and everybody can come (not only English classes)
418,neutral,Also du bist ., So you are . 
419,joy,"Hoffen wir, dass dieser Glücksfall anhält. Ich hoffe, wir haben unsere finanziellen Schwierigkeiten endgültig überwunden.", Let's hope this stroke of good luck lasts . I hope we are over our financial difficulties for good . 
420,neutral,Erschrocken ? Du machst Witze ., Frightened ? You must be joking . 
421,joy,Als wir einen jungen Hund bekamen.,When we got a young dog.
422,fear,"vermisse geng-number clan, bila la aku bole korang beitreten? :/","miss geng-number clan , bila la aku bole join korang ? :/"
423,joy,"Ich war froh, als ich die ziemlich schwierige Prüfung in organischer Chemie ablegte.",I felt glad when I took the rather difficult organic chemistry examination.
424,joy,Klingt gut . Das Essen dort ist auch fantastisch.," Sounds good . The food there is fantastic , too . "
425,sadness,Das tut mir sehr leid., I'm very sorry about this . 
426,joy,"Mehr als viele, viele ekstatische Fans füllten jede Nacht die Stadien, um das Mädchen anzuschreien, das sie sofort Mighty Minogue nannten.","More then number,number ecstatic fans filled stadia each night to scream at the girly they instantly dubbed the Mighty Minogue . "
427,anger,"Wütend auf meinen Bruder, der sich über mich lustig machte und mich neckte.","Angry with my brother, who was making fun of me, teasing me."
428,anger,"Ein Fremder des Bezirks, der über eine Hügelkuppe kam, wäre erstaunt und vielleicht ein wenig verärgert stehen geblieben, um den Weg von Plowman unter ihm liegen zu sehen.","A stranger to the district , coming over a brow of the hill , would have stopped astonished and perhaps a little peeved to see Ploughman 's Lane lying beneath him . "
429,anger,"Ein Mitglied einer religiösen Sekte versuchte mich zu bekehren, indem er mich mit wirklich bösen Tricks überredete. Nachdem er gegangen war, war ich lange ängstlich und wütend. Nach der Veranstaltung war ich allein.","A member of a religious sect tried to convert me, using really evil tricks to persuade me.  After he had left, I was anxious and angry for a long time. After the event, I was alone."
430,sadness,"Es ist möglich, traurig darüber zu sein, dass Ihre Babys Kinder werden, und dennoch akzeptieren, dass Sie keine mehr haben werden.","It 's possible to be sad about your babies becoming children , and yet accept the fact that you won't have any more . "
431,neutral,Wie geht es ihm ?,How is he ? 
432,sadness,"Meine Schwester war unhöflich zu meinem Vater, als die Familie zusammen in einem Restaurant zu Mittag aß. Sie dachte, dass unsere Eltern ihr gegenüber voreingenommen waren, das war ein extremer Gedanke.","My sister was impolite to my father when the family was having lunch together at a restaurant.  She thought that our parents had been prejudiced against her, this was an extreme thought."
433,neutral,Ist schon okay . Aber warum warst du beim Mittagessen so unhöflich zu mir?, That's all right . But why were you so rude to me at lunch . 
434,sadness,"Oh, Entschuldigung . Ich habe es nicht bemerkt. Verzeihung ."," Oh , sorry . I didn ’ t notice it . Sorry . "
435,fear,"Eine Nacht, um Flugzeuge zu beobachten! Wenn es mir nur genauso viel Spaß macht, darauf zu steigen, wie es mir Spaß macht, es über den Himmel fliegen zu sehen",A night out watching airplanes! If only i cud enjoy getting on it as much as i enjoy watching it fly across the sky 
436,joy,Machen Sie es drei Tassen. Hier kommt Harry., Make it three cups . Here comes Harry . 
437,anger,"Toll, denn ich bin wirklich sauer auf William. Ich meine , was für ein Idiot würde eine kluge , schöne Frau wie mich nicht zu schätzen wissen ? Jeder, der mit diesem Typen befreundet ist, muss wirklich dumm sein."," Great , because I am really mad at William . I mean , what kind of an idiot wouldn't be able to appreciate a smart , beautiful woman like me ? Anybody who would be friends with that guy has to be really dumb . "
438,fear,Ich glaube du hast Windpocken! Sie sind ansteckend! Geh weg! Atme mich nicht an !, I think you have chicken pox ! You are contagious ! Get away ! Don ’ t breathe on me ! 
439,joy,"In den letzten Tagen des Trails wurde er jedoch viel glücklicher, Risiken einzugehen, obwohl Babys ungeküsst blieben.","In the last number days of the trail , however , he became much happier to take risks , although babies remained unkissed . "
440,fear,Als Folge des Zerbrechens der Kontrollleuchte wie erwähnt für Schuld.,As a result of breaking the indicator light as mentioned for guilt.
441,fear,Nach einem Autounfall (ich war der Vordersitz-Beifahrer) spuckte ich Blut.,After a motor accident (I was the frong-seat-passenger) I spit blood.
442,anger,"Als ein Lehrer vorgab, ein hochkultivierter Lehrer und ein Mann zu sein, schlug er einem meiner Klassenkameraden unverdient ins Gesicht.","When a teacher though pretending to be a highly cultivated teacher and a man, slapped a classmate of mine in the face quite undeservedly."
443,neutral,Was ?, What ? 
444,joy,Als ich an der chinesischen Universität zugelassen wurde.,When I was admitted to the Chinese universiity.
445,joy,"Als ich mein U.E. akkreditiert, da ich es völlig unerwartet hatte und so glücklich war.",When I received my U.E. accredited as I was totally unexpecting it and I was so happy.
446,anger,"Mein Vater hatte mir noch einmal gesagt, ich solle vorsichtig sein und versuchen, auch außerhalb der Fakultät für Sozialwissenschaften der Universität Helsinki eine Zulassung zu suchen. Ich interessierte mich überhaupt nicht für einen anderen Ort und hatte keine Zeit, für andere Aufnahmeprüfungen zu lernen.",My father had once again told me that I should be careful and try to seek admission to other places also apart from the faculty of Social Sciences at the university of Helsinki.  I was not at all interested in any other place and had no time to study for other entrance exams.
447,sadness,"Meine Freundin war schwanger, verlor aber ihr Kind im zweiten Monat. Ich besuchte sie im Krankenhaus - sie weinte. Sie tat mir sehr leid.","My friend was pregnant, but lost her child during the second month. I went to see her at hospital - she was crying. I felt very sorry for her."
448,sadness,Es tut mir leid . Es gibt eine Geschwindigkeitsbegrenzung., I am sorry . There is a speed limit . 
449,fear,"Als ich fast einen kleinen Jungen überfahren hätte, der plötzlich vor meinem Auto stand.",When I almost ran over a small boy who suddenly was in front of my car.
450,sadness,Als ich bei der ersten Aufnahmeprüfung durchgefallen bin.,When I failed at the first entrance exam.
451,fear,"Unsere, die meisten unserer Regeln und die meisten unserer Gesetze werden von Leuten gemacht, die Angst haben, ihr Eigentum zu verlieren, und nicht von Leuten, die Angst haben, nachts überfallen zu werden.","Our , most of our rules and most of our laws are made by people who are frightened of losing their property , and not the sort of people who are frightened of being mugged at night . "
452,anger,"Jemand hat mir gesagt, dass wir nicht so gut sind wie die All English Class.",Someone told me we are not as good as the All English Class.
453,joy,Was für ein schöner Tag ! Warum machen wir keinen Ausflug?,What a nice day ! Why don't we go for an outing ? 
454,neutral,Was ?, What ? 
455,anger,"Ich war sehr wütend, als ich eines Tages meine Freundin besuchte, mit ihr sprach und nicht antworten konnte. Sie war aus mir unbekannten Gründen depressiv.",I was very angry when one day I went to see my girlfriend I talked to her and could not answer back. She was depressed for reasons which were not known to me.
456,anger,"In einem sehr wichtigen Basketballspiel, bei dem viel auf dem Spiel stand, habe ich sehr schlecht gespielt.","In a very important basket-ball match where a lot was at stake, I played very badly."
457,sadness,Durch den Stromausfall konnte ich die Lieder meines Lieblingspopstars nicht hören.,Power cut made me unable to listen to the songs sung by my favourite pop star.
458,anger,"Bruder unterbrach ständig, während ich am Telefon sprach.",Brother continually interupting while I was talking on the telephone.
459,fear,@sachaLan Freie Meinungsäußerung als Revolution,@sachaLan Free Expression As Revolution 
460,anger,Von einem Anführer bestraft.,Punished by a leader.
461,joy,Als ich meinen Beförderungsbrief erhielt.,When I received my promotion letter.
462,sadness,Als meine Großmutter starb.,When my grandmother passed away.
463,fear,Einmal überquerte ich die Straße und wurde fast von einem Auto zertrampelt.,"Once when I crossed the street, and was nearly trampled by a car."
464,sadness,Die Idee hatte ich schon., I already had that idea . 
465,joy,"Das ist gut . Ich komme eigentlich aus Mexiko. Ich war auf einer Geschäftsreise in China und besuchte einige lokale Firmen, die Badezimmerprodukte herstellen."," It ’ s fine . I am actually from Mexico . I was in China on a business trip , visiting some local companies that manufacture bathroom products . "
466,neutral,"Ich kann sehen , dass Sie es versuchen , aber wo könnten Sie sich Ihrer Meinung nach verbessern ?"," I can see that you are trying , but where do you think you could improve ? "
467,joy,Als ich den ersten Preis bei einem Cross-Country-Rennen gewann.,When I won the first prize in a cross country race.
468,joy,"Als es mir gelang, einen Kontakt zu einem Mädchen (die jetzt meine Freundin ist) aufzubauen.",When I succeded in establishing a contact with a girl (who is now my girlfriend).
469,sadness,"Ich habe keine bestimmte Zeit . Ich gehe einfach schlafen, wenn ich müde bin.", I don ’ t have one time in particular . I just go to sleep whenever I feel tired . 
470,anger,Auf Major Tzanns Gesicht machte sich ein schwacher Ärger bemerkbar.,Faint annoyance began to show on Major Tzann 's face . 
471,neutral,Bußgeld !, Fine ! 
472,anger,"In der Schule musste ich einen Aufsatz schreiben, weil ich etwas falsch gemacht hatte, was ich nicht getan hatte. Ich schrieb den Aufsatz darüber, wie ich misshandelt wurde und zusammen mit ein paar anderen Kindern am Samstagmorgen nachsitzen musste, aber sie tauchten nicht auf.","While at school I had to write an essay for doing something wrong that I didn't do. I wrote the essay about how I was mistreated and got Saturday morning detention along with a few other kids, but they didn't show up."
473,anger,"Absolut nicht ! Ich weigere mich, am Freitag dreizehn Leute zum Abendessen zu haben!", Absolutely not ! I refuse to have thirteen people for dinner on Friday ! 
474,fear,Sie können sich mein Entsetzen vorstellen!,You can imagine my horror ! 
475,sadness,"Lieber . Ich fürchte, ich habe es nicht sehr gut gemacht.", Rather . I'm afraid I didn't do very well . 
476,neutral,Ist er da ?, Is he in ? 
477,anger,"Ich hatte einen heftigen Streit mit einem Liebhaber – dessen Absicht war, dass wir in naher Zukunft heiraten sollten – und wurde von ihr abgelehnt, als ich anfing zu weinen. Als ich für einen Moment aufhörte zu weinen, sagte sie: ""Da, hast du jetzt alles raus?""","I had been having a heated argument with a lover - whose intention was that we should marry in the near future - and was rejected by her when I started to cry. When I stopped crying for a moment she said \There, have you got it all out now ?\""."""
478,joy,"Nach meiner Heirat erhielt ich die B.Sc-Ergebnisse per Post, ich war sehr froh zu erfahren, dass ich sehr gute Noten bekommen habe - erste Klasse.","After my marriage I received the B.Sc results by post, I was very happy to learn that I had got very good marks - first class."
479,joy,Klingt gut ., Sounds good . 
480,joy,"Hallo ! Ich bin Penny , ich bin gerade hierher gezogen .","Hello ! I'm Penny , I moved here just now . "
481,anger,Du hast mich wirklich im Stich gelassen.," Ur , you really let me down . "
482,neutral,Laufen ?, Jog ? 
483,anger,"Ein Streit unter Freunden, bei dem meine Meinung zur Freizeitgestaltung missbilligt wurde.",An argument among friends in which my opinions on the way to spend spare time were disapproved.
484,sadness,"Als ich erfuhr, dass sich mein ehemaliger Freund verlobt hatte - obwohl ich froh war, dass er gefunden hatte, was er wollte, war ich sehr traurig über meinen persönlichen Verlust, da ich immer gehofft hatte, dass wir uns eines Tages versöhnen könnten.","When I learned that my former boyfriend had become engaged - although I was glad that he had found what he wanted, I was very sad at my own personal loss, since I had always hoped we might one day reconcile."
485,sadness,Nach dem Abitur meiner kleinen Schwester wurde meine Großmutter sehr krank. Sie verstarb einige Monate später.,After my little sister's Graduation from High School my grandmother became very sick. She passed away a few months later.
486,neutral,"Ach, das ist schade. Er ist wirklich fleißig."," Oh , that is a shame . He is really hard working . "
487,joy,"Als ich mich entlassen ließ, war das natürlich mein zweiter Geburtstag.",Naturally when I got myself discharged this was my second birthday.
488,joy,"Als ich einen Brief von der Universität erhielt, in dem mir mitgeteilt wurde, dass meine Bewerbung angenommen wurde.",When I received a letter from the university telling me that my application had been accepted.
489,fear,"Mann, ich drehe durch! Du musst mir helfen!","Man , I ’ m freaking out ! You gotta help me ! "
490,joy,"Eines Nachts wurde mir bei einem Freund klar, dass ich alles um mich herum hatte, was ich mir am meisten wünschte.","One night, at a friend's place I realized that I had everything I most wished, around me."
491,neutral,Träum weiter !, Dream on ! 
492,sadness,"Tut mir leid, aber unser Uni-Rechenzentrum verkauft nur Macintosh-Geräte."," I'm sorry , but our university computer center only sells Macintosh equipment . "
493,anger,Shaw arbeitete jedoch am Wochenende den größten Teil seiner Verzweiflung ab und gewann den Over Number-Titel der Veteranen von Durham und Cleveland County.,"Shaw , however , worked off most of his exasperation over the weekend winning the Durham and Cleveland County veterans ' over number title . "
494,joy,Der Herbst ist auch in Washington sehr schön., Autumn is also very nice in Washington . 
495,neutral,Genau ., Exactly . 
496,sadness,Liebesprobleme.,Love problems.
497,anger,Das finde ich nicht fair., I don't find this fair . 
498,neutral,Wie kann ich ihr davon erzählen?,How can I tell her about this ? 
499,joy,Anerkennung der Hochschulzugangsberechtigung und Heimkehr vom Internat im Akkreditierungsurlaub.,Getting University Entrance accredited and arriving home from boarding school on accrediting leave.
500,neutral,Die geraden Beine gefallen mir sehr gut., I really like the straight legs . 
501,joy,"Das ist eine gute Idee . Mal sehen, ob wir mehr Leute für diesen Plan gewinnen können. Heutzutage gibt es sowieso nicht viel Geschäft , daher denke ich , dass viele Leute interessiert sein werden ."," That's a good idea . Let's see if we can get more people in this plan . There isn't much business these days anyway , so I think many people will be interested . "
502,neutral,Wie ist die Arbeit ?,How's work ? 
503,anger,"Oh , sei still , ja ? Es war alles deine Schuld. Wenn du ganz ruhig gehalten hättest, wäre das nie passiert."," Oh , shut up , will you ? It was all your fault . If you'd kept quite this would never have happened . "
504,neutral,"Ich kaufe sie nur, wenn sie besonders interessant aussehen. Ich kaufe nicht regelmäßig.", I only buy them if they look particularly interesting . I don ’ t buy any regularly . 
505,joy,Ich mag thailändisches Essen. Hast du viel von Bangkok gesehen?, I do like Thai food . Did you see much of Bangkok ? 
506,sadness,An Silvester war ich allein zu Hause.,I was alone at home on New Year's Eve.
507,sadness,Als meine ältere Schwester starb.,When my elder sister died.
508,neutral,Das glaube ich nicht., I don ’ t believe that . 
509,sadness,"Nun, Herr. Bäche. Es tut mir noch einmal leid für die Verspätung, aber wir sollten alles fertig haben, wenn Sie zurückkommen.","Well , Mr . Brooks . I ’ m sorry , again , for the delay , but we should have everything completed by the time you get back . "
510,joy,"Erfreut über Jim, besorgt um Jasper, lag Alice lange wach in dem stillen Raum.","Delighted about Jim , apprehensive for Jasper , Alice lay for a long time awake in the silent room . "
511,anger,"Ich wage zu behaupten , dass einige Preisjurys verärgert sein könnten , wenn ihr Urteil ebenfalls in Frage gestellt wird .","I dare say a few prize juries might be peeved at having their judgment queried , too . "
512,anger,"Als ich entdeckte, dass die Leute, denen ich am meisten vertraute, hinter meinem Rücken redeten.",When I discovered that the people I trusted most were talking behind my back.
513,joy,"Die Anzeigen erschienen am Wochenende in Novoye Russkoye und sorgten für Aufregung in der sowjetischen Exklave Brighton Beach, auch bekannt als Little Odessa.","The advertisements appeared in Novoye Russkoye at the weekend , causing a buzz of excitement in the Soviet expatriate enclave of Brighton Beach , also known as Little Odessa . "
514,anger,"Ich habe zugestimmt, nicht in das Einkaufszentrum zu gehen, aber ich kann mir immer noch die Dinge auf dem Markt ansehen!"," I agreed to not go into the mall , but I can still look at things in the market ! "
515,sadness,"Während meines Urlaubs traf ich wieder einen Freund, der versucht hatte, Selbstmord zu begehen. Sie hatte gerade das Krankenhaus verlassen, ihre Lippen zitterten, sie sah elend aus.","During my holiday I met again a friend who had tried to commit suicide. She had just left hospital, her lips were trembling, she looked miserable."
516,neutral,unbedingt ., absolutely . 
517,sadness,Oh es tut mir leid .," Oh , I'm sorry . "
518,fear,"Ich zögere nicht, Deo immer wieder aufzutragen",Little hesitant to apply deodorant ever again 
519,anger,"Als ich merkte, dass ich im Sprachkurs weit hinter den anderen lag und die anderen nicht mehr einholen konnte.",When I realized that I was far behind the others in the language course and I could no longer catch up with the others.
520,joy,Als ich meine B.A. Prüfungen bestanden habe.,When I passed my B.A exams.
521,joy,"Die einfachen, lachenden Insulaner verehrten es anschließend als Gott, sehr zur Belustigung ihrer kultivierteren Nachbarn.","The simple , laughing islanders subsequently worshipped it as a god , much to the amusement of their more sophisticated neighbours . "
522,neutral,Es ist ein sehr beliebtes Spiel in Amerika., It's a very popular game in America . 
523,anger,Nimmst du ihm meine Materialien für mich zurück? Bitte !, Will you take my materials back from him for me ? Please ! 
524,anger,"Ich hatte Streit mit meiner Mutter, weil ich die Regeln kritisiert habe, die sie zu Hause auferlegt, die mir zu starr und willkürlich sind.","I had an argument with my mother because I criticized the rules she imposes at home, which are too rigid and arbitrary for me."
525,sadness,"Ich fühle Juckreiz! Ich halte es nicht mehr aus! Ich glaube, ich komme mit etwas zusammen. Ich fühle mich benommen und schwach.", I feel itchy ! I can ’ t stand it anymore ! I think I may be coming down with something . I feel lightheaded and weak . 
526,fear,"Am Heiligabend hatte ich gerade die Prüfungen hinter mir und hatte Angst, dass die Ergebnisse eines meiner Hauptfächer sehr unbefriedigend waren. Ich dachte, dass ich nur eine prozentuale Chance hatte, zu bestehen. Selbst wenn ich dieses Thema nicht bestanden hätte, müsste ich es nicht wiederholen. Allerdings hat mir dieses Thema sehr gut gefallen und meine Ergebnisse waren wegen meiner Faulheit schlecht. Wenn ich gezwungen wäre, in diesem Fach in ein Nebenfach zu wechseln, wäre ich sehr ungern.","On Christmas eve,number, I had just finished the exams and was afraid as the results of one of my major subjects had been very unsatisfactory.  I thought that I had only a number% chance of passing.  Even if I failed this subject I would not need to repeat.  However I liked this subject very much and my results were bad because of my lazyness.  If I was forced to change to a minor in this subject I would be very unwilling."
527,sadness,Ich kann in letzter Zeit schlecht schlafen., I've been having a hard time sleeping lately . 
528,neutral,OK ., OK . 
529,sadness,Und ein Sturm hat unser Dach weggeblasen., And a storm blew our roof away . 
530,sadness,"Der Verlust eines Menschen, den ich sehr liebte.",The loss of a person I loved very much.
531,fear,"Als ich Zeuge eines Busunfalls wurde, bei dem ein Bus voller Passagiere auf der Straße fast umkippte","When I witnessed a bus accident in which a bus, full of passengers,  nearly overturned on the road "
532,sadness,"Ich hatte Streit mit einer guten Freundin darüber, dass ich sie nicht besuchte, als sie mein Kommen erwartete. Danach war ich sehr traurig, denn es wurde ein richtiger Streit.",I had a quarrel with a good friend about the fact that I didn't pay her a visit when she expected me to come. Hereafter I was very sad because it became a real quarrel.
533,sadness,"Als ihnen das passierte, was meine Freunde und Verwandten traurig machte.",When the thing that made my friends and relatives sad happened to them.
534,anger,"Außer Atem und wütend, als sie feststellte, dass er nicht einmal keuchte, versuchte sie sich zu befreien, dann funkelte sie ihn an.","Out of breath , and furious to note that he wasn't even panting , she struggled to free herself , then glared at him . "
535,neutral,Begnadigung ?, Pardon ? 
536,neutral,Probieren Sie es aus., Have a try . 
537,neutral,"Ach, ich verstehe."," Oh , I see . "
538,joy,Er fühlte sich sowohl beschwingt als auch verängstigt.,He felt both elated and frightened . 
539,neutral,Und das ?, And that ? 
540,anger,"Viele der Jugendlichen ärgern sich darüber, dass die Gesellschaft sie rausschmeißt.",Many of the youngsters feel resentful that society is kicking them out . 
541,neutral,Wie kann man in Zukunft ohne Job leben?, How can you live without job in the future ? 
542,neutral,"Ja, ich habe mich nur gefragt, wie Sie und Ihr Mitbewohner vorhatten, zu mir zu kommen."," yes , I was just wondering how you and your roommate were planning on coming to my place . "
543,neutral,"Ich habe ein paar Stunden verpasst; Ich muss sicherstellen, dass ich regelmäßig zur Schule komme.", I missed a few classes ; I need to make sure I come to school on a regular basis . 
544,neutral,Wieso den ?, Why ? 
545,sadness,Es tut mir auf jeden Fall wirklich leid.," Definitely , I ’ m really sorry . "
546,joy,"Ich hatte Streit mit meinem Verlobten. Als er seine Schuld zugab, war alles in Ordnung. Da überraschte er mich zum ersten Mal mit Kaffee und Kuchen und einem Blumenstrauß.","I had a quarrel with my fiancT. When he admitted his fault, everything was allright. It was then for the first time that he surprised me with coffee and cake and a bunch of flowers."
547,sadness,"Erfahren, dass mein Onkel in Amerika einen Gehirntumor hatte.",Getting to know that my uncle in America had a brain tumor.
548,joy,Mein alter Freund - ja der gleiche - hat mich um ein Date gebeten. Wir hatten eine schöne Zeit. Dann bat er mich in der folgenden Woche um ein Date. Er hatte tatsächlich Interesse.,My old boyfriend - yes the same one - asked me out. We had a good time. Then he asked me out the following week. He actually took interest.
549,joy,"Er rief sogar Wexford an, um ihm davon zu erzählen, und seine Freude ließ etwas nach, als er hörte, dass der Chief Inspector dies auch drei Stunden zuvor herausgefunden hatte.","He even telephoned Wexford to tell him about it , his elation subsiding somewhat when he heard the chief inspector had also found this out three hours before . "
550,fear,"Als ich neugierig war und mit einem Freund zu einer Spiritismus-Sitzung ging. Ich war schon andere Male dort (viele Male, als ich jünger war), aber an diesem Tag hatte ich, auch wenn ich nicht an Spiritismus glaube, schreckliche Angst, dass mir etwas passieren würde (eine Art Eingliederung!).","When I was curious about it and went to a spiritism session with a friend. I had already been there other times (many times when I was younger) but that day, even if I don't believe in spiritism I was terribly afraid that something would happen to me (sort of incorporation !)."
551,joy,"Erfreut darüber, seine volle Aufmerksamkeit gewonnen zu haben, wand sich Lori auf ihrem Platz.","Delighted at having gained his complete attention , Lori squirmed in her seat . "
552,joy,Wenn mein Freund und ich etwas Schönes erleben oder wenn wir zusammen einen schönen Spaziergang gemacht haben.,When my boyfriend and I experience something nice or when we have made a nice walk together.
553,fear,"Im wahrsten Sinne des Wortes hatte ich in meinen ersten Monaten bei der Armee Angst. Während meiner ersten Nacht im Dienst. Der Grund für all das war ein Bär. Ich bekam Panikattacken (vielleicht zum ersten Mal) und vergaß sogar, dass ich eine Waffe hatte.",In the real sense of the word I experienced fear in my first months in the army. During my first night of duty. The cause for all this was a bear. I became panic sticken (may be for the first time) and even forgot that I had a gun.
554,neutral,Komm schon ., Come on . 
555,sadness,Hast du die Entscheidung schon getroffen?, Have you made the decision yet ? 
556,joy,Ich habe für ein paar Freunde zu Abend gegessen und sie haben es sehr geschätzt.,I made dinner for some friends and they appreciated it very much.
557,neutral,Was jetzt ?, Now what ? 
558,neutral,Fünf ., Five . 
559,joy,Letzter Nacht, Last night 
560,neutral,Woher ?, How come ? 
561,fear,Die junge Frau starrte nur zurück wie ein verängstigtes Kaninchen.,The young woman just stared back like a frightened rabbit . 
562,neutral,Wie viel ?, How much ? 
563,neutral,Nicht schlecht ., Not bad . 
564,neutral,Ich werde es versuchen ., I'll try . 
565,neutral,Wann ?, When ? 
566,anger,Bußgeld ! Ich werde anfangen zu trinken und fettarme hausgemachte Mahlzeiten zu sich zu nehmen. Bist du jetzt glücklich ?, Fine ! I ’ ll start drinking and having home cooked meals that are low in fat . Are you happy now ? 
567,sadness,"Ein enger Freund beschloss, mit seinem Studium aufzuhören und nach Hause zurückzukehren.",A close friend decided to stop with his study and to go back home.
568,joy,"Sie war wirklich erfreut, als sie zurückkam und ihn kampffähig vorfand, obwohl er immer noch einen Flügel als Krücke benutzte, um sein krummes Bein zu stützen.","She was really pleased when she came back and found him fighting fit , even though he was still using one wing as a crutch to support his crooked leg . "
569,sadness,"Ich bin in einem Fach durchgefallen, obwohl ich ziemlich viel dafür gelernt hatte.",I failed a subject despite the fact that I had studied quite a lot for it.
570,sadness,"Eine bestimmte Person, die ich sehr respektiere und schätze, beachtet mich nicht. Sie hält den Schein aufrecht, zeigt aber fast kein Interesse an mir.",A certain person whom I respect and esteem a lot pays me no attention.  She keeps up appearances but shows almost no interest in me.
571,anger,Sie haben es sicher getan., They sure did . 
572,sadness,"Es tut mir leid , ich habe ein wenig Schwierigkeiten , Ihren Akzent zu verstehen .","I'm sorry , I'm having a little trouble understanding your accent . "
573,neutral,Natürlich . Ist das Abendessen noch im Gange?, of course . Is the dinner still on ? 
574,fear,Sie haben Todesangst .,They 're frightened to death . 
575,joy,"Als meine Schwester ihr erstes Baby bekam, war ich so glücklich und fröhlich, weil sie nach der Heirat zwei Tage blieb, bevor sie ein Kind bekam.",The time when my sister had her first baby I was so happy and joyous because she stayed for two days after marriage before she had a child.
576,anger,Ich habe genug gehabt ., I've had enough . 
577,fear,"Manche Menschen werden beispielsweise übermäßig nervös, wenn sie den Tierarzt aufsuchen, und es ist eine gute Idee, die Besuche früh im Leben des Hundes zu beginnen.","Some individuals become excessively nervous about visiting the vet , for example , and it is a good idea to begin visits early in the dog 's life . "
578,neutral,Möchten Sie schwarzen oder weißen Kaffee?,Do you want black or white coffee ? 
579,fear,"„Wir sind besonders besorgt über die Zunahme von Vorfällen, an denen zahlreiche Jugendliche, insbesondere Mädchen, beteiligt sind“, sagte Gründerin Regina Dollar.","` We 're particularly concerned about the increase in incidents involving youngsters of number and number , especially girls , "" said founder Regina Dollar . "
